id,descricao,valor,data,usuario_id
1,Enel,450.00,2025-03-01 00:00:00,1
2,Água SABESP,120.50,2025-03-02 00:00:00,1
3,Internet Vivo,99.90,2025-03-03 00:00:00,1
4,Aluguel,1500.00,2025-03-05 00:00:00,1
5,Mercado Extra,387.40,2025-03-07 00:00:00,1
6,Farmácia,85.30,2025-03-08 00:00:00,1
7,Posto de Gasolina,210.00,2025-03-10 00:00:00,1
8,Plano de Saúde,320.00,2025-03-10 00:00:00,1
9,Escola dos Filhos,780.00,2025-03-11 00:00:00,1
10,Netflix,45.90,2025-03-12 00:00:00,1
11,Spotify,21.90,2025-03-12 00:00:00,1
12,Mercado Extra,295.60,2025-03-14 00:00:00,1
13,Restaurante,67.80,2025-03-15 00:00:00,1
14,Uber,38.50,2025-03-15 00:00:00,1
15,Farmácia,42.00,2025-03-17 00:00:00,1
16,Padaria,35.00,2025-03-18 00:00:00,1
17,Enel,430.00,2025-04-01 00:00:00,1
18,Água SABESP,115.00,2025-04-02 00:00:00,1
19,Internet Vivo,99.90,2025-04-03 00:00:00,1
20,Aluguel,1500.00,2025-04-05 00:00:00,1
21,Mercado Extra,420.10,2025-04-07 00:00:00,1
22,Posto de Gasolina,195.00,2025-04-09 00:00:00,1
23,Plano de Saúde,320.00,2025-04-10 00:00:00,1
24,Escola dos Filhos,780.00,2025-04-11 00:00:00,1
25,Restaurante,95.00,2025-04-13 00:00:00,1
