id,Descricao,VALOR,data,usuario_id
1,Enel ,450.00,01/03/2025,1
2,água sabesp,120,50,02/03/2025,1
3,INTERNET VIVO,99.90,03-03-2025,1
4,Aluguel,1500.00,05/03/2025,1
5, Mercado Extra ,387,40,07/03/2025,1
6,Farmácia,,08/03/2025,1
7,Posto de Gasolina,210.00,10/03/2025,1
8,Plano de Saúde,R$ 320.00,10/03/2025,1
9,,780.00,11/03/2025,1
10,Netflix,45.90,12/03/2025,1
11,Spotify,21.90,12/03/2025,1
12,Mercado Extra,295,60,14/03/2025,1
13,Restaurante,67.80,15/03/2025,1
14,Uber,38.50,15/03/2025,1
15,Farmácia,42.00,17/03/2025,1
16,Padaria,35.00,18/03/2025,1
17,ENEL,450.00,01/03/2025,1
18,academia,89.90,20/03/2025,1
19,Conta de Luz,N/A,22/03/2025,1
20,Mercado,,25/03/2025,1
